accuracy,precision,recall,f1,auc,fnr,cm,loss,encoder,fold,seed,mode,best_epoch,betas,fpr,auprc,balanced_acc,specificity,mcc
0.891176471,0.929032258,0.847058824,0.886153846,0.909775087,0.152941176,"[[159, 11], [26, 144]]",15.29249716,MASTE,2,42,within,39,"{'b1': 0.8736288547515869, 'b2': 1.0263317823410034, 'b3': 1.0258456468582153}",,,,,
0.879411765,0.87283237,0.888235294,0.880466472,0.920709343,0.111764706,"[[148, 22], [19, 151]]",20.99124813,MASTE,2,123,within,25,"{'b1': 0.8752877116203308, 'b2': 0.9698210954666138, 'b3': 1.0146832466125488}",,,,,
0.885294118,0.945578231,0.817647059,0.876971609,0.947906574,0.182352941,"[[162, 8], [31, 139]]",39.1843338,MASTE,2,456,within,12,"{'b1': 0.8806521892547607, 'b2': 0.9438227415084839, 'b3': 0.9886059165000916}",,,,,
0.864705882,0.892405063,0.829411765,0.859756098,0.898062284,0.170588235,"[[153, 17], [29, 141]]",21.39115524,MASTE,3,42,within,33,"{'b1': 0.8773697018623352, 'b2': 1.018519639968872, 'b3': 1.025773525238037}",,,,,
0.864705882,0.942857143,0.776470588,0.851612903,0.89650519,0.223529412,"[[162, 8], [38, 132]]",21.86082077,MASTE,3,123,within,48,"{'b1': 0.8736383318901062, 'b2': 1.0041502714157104, 'b3': 1.0134788751602173}",,,,,
0.873529412,0.95035461,0.788235294,0.861736334,0.922508651,0.211764706,"[[163, 7], [36, 134]]",39.1265564,MASTE,3,456,within,12,"{'b1': 0.8807054162025452, 'b2': 0.9428160786628723, 'b3': 0.9914815425872803}",,,,,
0.888235294,0.917721519,0.852941176,0.884146341,0.91366782,0.147058824,"[[157, 13], [25, 145]]",18.0325346,MASTE,4,42,within,32,"{'b1': 0.8743880987167358, 'b2': 1.0225443840026855, 'b3': 1.0300045013427734}",,,,,
0.873529412,0.91503268,0.823529412,0.866873065,0.928027682,0.176470588,"[[157, 13], [30, 140]]",32.59163284,MASTE,4,123,within,16,"{'b1': 0.8780103921890259, 'b2': 0.9323463439941406, 'b3': 1.0157521963119507}",,,,,
0.897058824,0.941176471,0.847058824,0.891640867,0.919515571,0.152941176,"[[161, 9], [26, 144]]",17.8151598,MASTE,4,456,within,39,"{'b1': 0.87458336353302, 'b2': 1.0362639427185059, 'b3': 1.0314335823059082}",,,,,
0.858823529,0.942028986,0.764705882,0.844155844,0.896245675,0.235294118,"[[162, 8], [40, 130]]",24.52679825,ST-MW,0,42,within,18,"{'b1': 0.894845187664032, 'b2': 0.9637194871902466, 'b3': 0.9721962213516235}",,,,,
0.85,0.869565217,0.823529412,0.84592145,0.891280277,0.176470588,"[[149, 21], [30, 140]]",29.14236164,ST-MW,0,123,within,11,"{'b1': 0.896845281124115, 'b2': 0.9675936102867126, 'b3': 1.0016257762908936}",,,,,
0.902941176,0.947712418,0.852941176,0.897832817,0.923650519,0.147058824,"[[162, 8], [25, 145]]",18.53544521,ST-MW,0,456,within,53,"{'b1': 0.9338257312774658, 'b2': 1.0052244663238525, 'b3': 1.0149372816085815}",,,,,
0.867647059,0.908496732,0.817647059,0.860681115,0.902058824,0.182352941,"[[156, 14], [31, 139]]",22.38071251,ST-MW,1,42,within,21,"{'b1': 0.8981619477272034, 'b2': 0.9748551845550537, 'b3': 0.967899739742279}",,,,,
0.867647059,0.888198758,0.841176471,0.864048338,0.891608997,0.158823529,"[[152, 18], [27, 143]]",21.79219913,ST-MW,1,123,within,25,"{'b1': 0.9116185903549194, 'b2': 1.014508605003357, 'b3': 1.0117138624191284}",,,,,
0.858823529,0.87654321,0.835294118,0.855421687,0.895519031,0.164705882,"[[150, 20], [28, 142]]",22.60432339,ST-MW,1,456,within,24,"{'b1': 0.9126365780830383, 'b2': 0.9727447628974915, 'b3': 1.011244773864746}",,,,,
0.858823529,0.917808219,0.788235294,0.848101266,0.890570934,0.211764706,"[[158, 12], [36, 134]]",19.54092503,ST-MW,2,42,within,30,"{'b1': 0.9057725667953491, 'b2': 0.985853910446167, 'b3': 0.9695149064064026}",,,,,
0.888235294,0.928571429,0.841176471,0.882716049,0.907422145,0.158823529,"[[159, 11], [27, 143]]",18.93645,ST-MW,2,123,within,38,"{'b1': 0.9243483543395996, 'b2': 1.012515664100647, 'b3': 1.008755087852478}",,,,,
0.911764706,0.960526316,0.858823529,0.906832298,0.928425606,0.141176471,"[[164, 6], [24, 146]]",15.20022202,ST-MW,2,456,within,56,"{'b1': 0.9364339709281921, 'b2': 1.0077264308929443, 'b3': 1.0105575323104858}",,,,,
