encoder,thr,sparsity_event,sparsity_noise,sparsity_avg,snr,precision,in_target,step_size,kappa_phi,amp_kappa,alpha,tau_ms,lags
SCS-ATDE,0.75,0.02675863729324192,0.0324893556535244,0.02962399647338316,1.8452274004382145,0.23253828803543,False,,,,2.5,75.0,
SCS-ATDE,0.8,0.01652823087060824,0.018703216686844826,0.017615723778726534,1.9877389525036069,0.23829842321574687,False,,,,2.5,75.0,
SCS-ATDE,0.7,0.046695925474632534,0.058084726333618164,0.052390325904125346,1.66839851675629,0.2233142335154116,False,,,,2.5,100.0,
SCS-ATDE,0.75,0.02762156762648374,0.03322473168373108,0.03042314965510741,1.83647931111989,0.23019720420241355,False,,,,2.5,100.0,
SCS-ATDE,0.8,0.01741547468584031,0.01946132443845272,0.018438399562146515,1.9613277883253306,0.23399994863197207,False,,,,2.5,100.0,
SCS-ATDE,0.7,0.040572680982295425,0.052104029804468155,0.04633835539338179,1.7499675985984104,0.2254463076684624,False,,,,3.0,50.0,
SCS-ATDE,0.75,0.021242954230401664,0.026969237253069878,0.02410609574173577,2.06362288527553,0.23720444848528133,False,,,,3.0,50.0,
SCS-ATDE,0.8,0.010846185106784105,0.012997021898627281,0.011921603502705692,2.4350000462107624,0.2488320925598964,True,,,,3.0,50.0,
SCS-ATDE,0.7,0.04115839823149145,0.052525296807289124,0.04684184751939029,1.7574075520365897,0.22588795455172658,False,,,,3.0,75.0,
SCS-ATDE,0.75,0.021853688557166608,0.027409985661506653,0.02463183710933663,2.0584467506147677,0.23712174594402313,False,,,,3.0,75.0,
SCS-ATDE,0.8,0.01147665300173685,0.013452478684484959,0.012464565843110904,2.396239959469203,0.24750139218987896,True,,,,3.0,75.0,
SCS-ATDE,0.7,0.04164945021504536,0.05289951339364052,0.04727448180434294,1.7620258979463677,0.22561095372773707,False,,,,3.0,100.0,
SCS-ATDE,0.75,0.022364771189168096,0.027801061049103737,0.025082916119135917,2.048475481284626,0.23591380238067358,False,,,,3.0,100.0,
SCS-ATDE,0.8,0.012002913244068623,0.013856291770935059,0.012929602507501841,2.3514701996017395,0.24444275172427296,True,,,,3.0,100.0,
SCS-ATDE,0.7,0.03971447058953345,0.051461294293403625,0.04558788244146854,1.7607580010298052,0.22428491101134568,False,,,,3.5,50.0,
SCS-ATDE,0.75,0.020346946755889803,0.026295995339751244,0.02332147104782052,2.1139285398461625,0.23614469410153105,False,,,,3.5,50.0,
SCS-ATDE,0.8,0.009918985652038827,0.012299071997404099,0.011109028824721463,2.5676432524265365,0.24841313250013627,True,,,,3.5,50.0,
